                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8519,                 3.6267,                 2.3319,                0.35188,                0.39613,                0.42525,                0.21367,                 2.4495,                 3.5703,                 3.1141,             0.00054455,             0.00054455,             0.00054455
                      2,                  1.747,                 2.8426,                 2.1817,                0.45293,                    0.5,                 0.4762,                0.23331,                 2.0242,                 2.5408,                 3.2539,              0.0009913,              0.0009913,              0.0009913
                      3,                 1.8261,                 2.5155,                 2.2006,                0.49448,                  0.705,                0.46487,                0.19739,                 2.2928,                 6.0785,                 3.3542,               0.001328,               0.001328,               0.001328
                      4,                 1.7474,                 2.2961,                 2.1167,                0.37724,                  0.445,                0.42889,                0.18266,                 2.4863,                 2.3491,                 2.9017,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.7415,                 2.0246,                 2.1204,                0.92065,                  0.465,                0.45303,                0.22173,                 2.6267,                 2.3398,                 3.4717,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.6997,                  1.854,                   2.06,                0.63709,                   0.65,                0.71871,                0.26293,                 2.3085,                 1.7533,                 2.8697,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.6875,                 1.7568,                 2.0216,                0.60798,                   0.63,                0.71433,                0.28944,                 2.1623,                 1.6804,                 2.7058,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.6024,                 1.6177,                 1.9965,                0.76274,                0.75589,                0.78859,                0.33148,                 2.2159,                 1.4271,                 2.6426,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.5993,                 1.5714,                 1.9626,                0.66128,                0.67167,                0.69478,                0.29886,                  2.264,                 1.4449,                 2.7452,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.5551,                 1.4931,                 1.9099,                0.59466,                   0.59,                0.61397,                0.26908,                 2.4668,                 1.5351,                 2.9658,              0.0001817,              0.0001817,              0.0001817
